anois	ənʲisʲ	әнишь
anseo	ənʲsʲo	әншё
ansin	ənʲsʲinʲ	әншинь
ansiúd	ənʲsʲuːd	әншюуд
ar	erʲ	эрь
agus	ogəs	огәс
is	əsʲ	әшь
freisin	frosʲənʲ	фрошјәнь
an	ə 	ә 
nach 	ɴax 	ңах 
go 	gə 	гә 
sibh 	sʲibʲ 	шибь
sibhse	sʲibʲsʲə	шибшјә
doirse	dorsʲə	доръшјә
amanna	aːməɴiː	аамәңий
athair	æːrʲ	ӕрь
athaireacha	æːrʲəxə	ӕрјәхә
bóithrí	boːrʲiː	боорий
fuinneoig	fiɴʲoːgʲ	фыңёогь
fuinneoga	fiɴʲoːgə	фыңёогә
garranta	gaːrəɴtiː	гаарәңтий
Fionnasclainn	fʲiɴəskʟəɴʲ	фиңәскӆәңь
Glinsce	gʲlʲiːnʲsʲkʲə	глийншкјә
Conamara	kuɴəmaːrə	куңәмаарә
Chonamara	xuɴəmaːrə	хуңәмаарә
Fhionnasclainn	iɴəskʟəɴʲ	иңәскӆәңь
Ghlinsce	ɣʲlʲiːnʲsʲkʲə	ғлийншкјә
scian	sʲkʲiːɴ	шкийң
beag	bʲog	бјог
bheag	wʲog	вјог
beaga	bʲogə	бјогә
bheaga	wʲogə	вјогә
iontach	iːɴtəx	ийңтәх
hiontach	hiːɴtəx	һыйңтәх
mór	moːr	моор
mhór	woːr	воор
móra	moːrə	моорә
mhóra	woːrə	воорә
aríst	ərʲiːsʲtʲ	әрийшть
fón	foːɴ	фооң
fónanna	foːɴəɴə	фооңәңә
codlata	koʟətə	коӆәтә
spúnóig	spuːɴoːgʲ	спууңоогь
spúnóga	spuːɴoːgə	спууңоогә
staltracha	staːʟtrəxiː	стааӆтрәхый
tintreacha	tʲiɴʲtʲrʲəxiː	тиңтрјәхый
amháin	əwɑːnʲ	әвӓӓнь
in	əɴ	әң
carranna	kaːrəɴiː	каарәңый
croinnte	kriːɴʲtʲə	крыйңтјә
léinteacha	ʟʲeːɴʲtʲəxiː	ӆеэңтјәхый
mórán	moːrɑːɴ	моорӓӓң
ag	egʲ	эгь
amáireach	əmɑːrʲəx	әмӓӓрјәх
anuraidh	əɴorə	әңорә
ariamh	ərʲiːəw	әриәв
minic	mʲinʲikʲ	миникь
inné	əɴʲeː	әңеэ
muis	musʲ	мушь
muise	musʲə	мушјә
raibh	ro	ро
beidh	bʲei	бей
bheidh	wʲei	вей
mbeidh	mʲei	мей
bhíothadh	wʲiːuː	вийуу
rabhadh	rohuː	роһуу
beifear	bʲeiɑːr	бейӓӓр
bheifear	wʲeiɑːr	вейӓӓр
mbeifear	mʲeiɑːr	мейӓӓр
aibhneacha	aiwʲɴʲəxiː	айвңјәхый
féin	heːnʲ	хээнь
coicís	kaikʲiːsʲ	кайкийшь
cois	kosʲ	кошь
deartháir	dʲrʲɑːrʲ	дрјӓрь
deartháracha	dʲrʲɑːrəxə	дрјӓрәхә
driofúr	dʲrʲaur	дряўр
driofúracha	dʲrʲaurəxə	дряўрәхә
laethanta	ʟeːɴtiː	ӆээңтый
tráthnóna	trɑːɴuːɴə	трӓӓңууңә
tráthnónaí	trɑːɴuːɴiː	трӓӓңууңый
cloisim	kʟosʲəmʲ	кӆошјәмь
tuirseach	torʲsʲəx	торшјәх
uilig	əlʲug	әлюг
na	ɴə	ңә
háirithe	hɑːrʲədʲ	һӓӓрјәдь
hiondúil	huːɴduːlʲ	һуудууль
bíodh	bʲiːx	бийх
cat	kut	кут
cait	kitʲ	кыть
cnoc	kruk	крук
cnoic	krikʲ	крыкь
madraí	mɑːdriː	мӓӓдрый
cineál	kʲiɴɑːʟ	киңӓӓӆ
shin	xinʲ	хынь
dreamanna	dʲrʲæːməɴiː	дрјӕмәңый
sléibhte	sʲlʲeːfʲtʲə	шлеэфтјә
Pádraig	pɑːrəkʲ	пӓӓрәкь
