a	aː
e	eː
i	iː
o	oː
u	uː
w	ɯː
ai	aːi
ae	ai
ei	ei
oi	oːi
ui	uːi
wi	ɯːi
au	aːu
aeu	au
eu	eːu
iu	iːu
ou	ou
aw	aɯ
am	aːm
aem	am
em	eːm
iem	iːm
im	im
om	oːm
oem	om
uem	uːm
um	um
an	aːn
aen	an
en	eːn
ien	iːn
in	in
on	oːn
oen	on
uen	uːn
un	un
wen	ɯːn
wn	ɯn
ang	aːŋ
aeng	aŋ
eng	eːŋ
ieng	iːŋ
ing	iŋ
ong	oːŋ
oeng	oŋ
ueng	uːŋ
ung	uŋ
wng	ɯn
ap	aːp̚
aep	ap̚
ep	eːp̚
iep	iːp̚
ip	ip̚
op	oːp̚
oep	op̚
uep	uːp̚
up	up̚
at	aːt̚
aet	at̚
et	eːt̚
iet	iːt̚
it	it̚
ot	oːt̚
oet	ot̚
uet	uːt̚
ut	ut̚
wet	ɯːt̚
wt	ɯt̚
ak	aːk̚
aek	ak̚
ek	eːk̚
iek	iːk̚
ik	ik̚
ok	oːk̚
oek	ok̚
uek	uːk̚
uk	uk̚
wk	ɯk̚
ab	aːp̚
aeb	ap̚
eb	eːp̚
ieb	iːp̚
ib	ip̚
ob	oːp̚
oeb	op̚
ueb	uːp̚
ub	up̚
ad	aːt̚
aed	at̚
ed	eːt̚
ied	iːt̚
id	it̚
od	oːt̚
oed	ot̚
ued	uːt̚
ud	ut̚
wed	ɯːt̚
wd	ɯt̚
ag	aːk̚
aeg	ak̚
eg	eːk̚
ieg	iːk̚
ig	ik̚
og	oːk̚
oeg	ok̚
ueg	uːk̚
ug	uk̚
wg	ɯk̚
